,seat_nmr,party,district,mp,color,seat_x,seat_y
0,1,CH,,,#202056,3.674170788271024,0.9697778192018411
1,2,CH,,,#202056,3.557692508431001,1.3352243315091021
2,3,CH,,,#202056,3.4049675646811552,1.6870672433158318
3,4,IL,,,#00AFF1,3.2175519570674793,2.021721890758279
4,5,IL,,,#00AFF1,2.997355122823386,2.3357787283226132
5,6,PSD,,,#F28C26,2.467902583654698,2.8895426692801176
6,7,PSD,,,#F28C26,2.1640410740401177,3.1236078867020574
7,8,PSD,,,#F28C26,1.8381317709999112,3.3258490032532637
8,9,PSD,,,#F28C26,1.4934951202849098,3.494205535695512
9,10,PSD,,,#F28C26,1.1336423665627933,3.626962225435207
10,11,PSD,,,#F28C26,0.7622397799764367,3.722766514008295
11,12,PSD,,,#F28C26,0.3830713032638173,3.780642323285259
12,13,PS,,,#F74B71,-0.38307130326381683,3.780642323285259
13,14,PS,,,#F74B71,-0.7622397799764363,3.722766514008295
14,15,PS,,,#F74B71,-1.1336423665627928,3.626962225435207
15,16,PS,,,#F74B71,-1.4934951202849094,3.4942055356955124
16,17,PS,,,#F74B71,-1.838131770999911,3.3258490032532637
17,18,PS,,,#F74B71,-2.1640410740401173,3.123607886702058
18,19,PS,,,#F74B71,-2.4679025836546975,2.8895426692801176
19,20,PS,,,#F74B71,-2.9973551228233855,2.3357787283226137
20,21,PCP,,,#DB241C,-3.2175519570674793,2.0217218907582795
21,22,PCP,,,#DB241C,-3.4049675646811552,1.6870672433158322
22,23,BE,,,#000000,-3.557692508431001,1.3352243315091026
23,24,BE,,,#000000,-3.674170788271024,0.9697778192018416
24,25,CH,,,#202056,4.467892746814123,1.0945018971960463
25,26,CH,,,#202056,4.361538978918443,1.4618405300767472
26,27,CH,,,#202056,4.225040134431246,1.8190755516044954
27,28,IL,,,#00AFF1,4.059339634503096,2.163737907361303
28,29,IL,,,#00AFF1,3.865582729534306,2.493445439773266
29,30,IL,,,#00AFF1,3.6451085836980393,2.805919352556461
30,31,PSD,,,#F28C26,3.130277984351523,3.3706616176478117
31,32,PSD,,,#F28C26,2.839479817933048,3.6190267149540225
32,33,PSD,,,#F28C26,2.5290563914847093,3.842378660242941
33,34,PSD,,,#F28C26,2.201153217865918,4.03917374118501
34,35,PSD,,,#F28C26,1.8580366224107165,4.208051795044897
35,36,PSD,,,#F28C26,1.502078079064383,4.34784560953977
36,37,PSD,,,#F28C26,1.135737819778172,4.457588990107267
37,38,PSD,,,#F28C26,0.7615478304469979,4.536523437825651
38,39,PAN,,,#0A6580,0.3820943509147982,4.584103391831275
39,40,PS,,,#F74B71,-0.38209435091479765,4.584103391831275
40,41,PS,,,#F74B71,-0.7615478304469974,4.536523437825651
41,42,PS,,,#F74B71,-1.1357378197781716,4.457588990107267
42,43,PS,,,#F74B71,-1.5020780790643824,4.34784560953977
43,44,PS,,,#F74B71,-1.8580366224107159,4.208051795044897
44,45,PS,,,#F74B71,-2.2011532178659174,4.039173741185011
45,46,PS,,,#F74B71,-2.5290563914847093,3.842378660242941
46,47,PS,,,#F74B71,-2.839479817933047,3.619026714954023
47,48,L,,,#77BD4A,-3.130277984351523,3.3706616176478117
48,49,PCP,,,#DB241C,-3.6451085836980393,2.805919352556461
49,50,PCP,,,#DB241C,-3.8655827295343057,2.493445439773268
50,51,PCP,,,#DB241C,-4.059339634503096,2.1637379073613032
51,52,PCP,,,#DB241C,-4.225040134431245,1.8190755516044967
52,53,BE,,,#000000,-4.361538978918443,1.4618405300767479
53,54,BE,,,#000000,-4.467892746814123,1.0945018971960458
