id|party|title|text_url|entry_date|publication_date|dar_ref|authors|number_authors
480/J/XV/1|PSD|Cria um Programa Nacional de Atração, Acolhimento e Integração de Imigrantes e a Agência Portuguesa para as Migrações|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953387a4d54426b5a446b304f433077597a41794c5451304d325174596a59324f43316d4f5759785a444a6d596a51784e5467755a47396a65413d3d&fich=310dd948-0c02-443d-b668-f9f1d2fb4158.docx&Inline=true|2023-01-07|2023-01-09 2023-01-10|2-5/142/II-A/XV/1 13-17/143/II-A/XV/1|JOAQUIM MIRANDA SARMENTO|1
479/J/XV/1|PS|Adota normas de proteção do consumidor de serviços financeiros|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338324e325a694d5759314f4330324d6a497a4c54517a4f544d74595463785a6930784e5445344d6a55774d4451334e7a4d755a47396a65413d3d&fich=67fb1f58-6223-4393-a71f-151825004773.docx&Inline=true|2023-01-06|2023-01-06|41-45/141/II-A/XV/1|MIGUEL MATOS, JAMILA MADEIRA, MIGUEL CABRITA, VERA BRAZ|4
478/J/XV/1|CH|Proibição de discriminações entre docentes, por efeito de alterações ao Estatuto da Carreira Docente em matéria de reposicionamento na carreira com efeitos remuneratórios|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396c4e57526c4d544e6b4d5330784d4755794c5452694e5759744f5745344e5330795a5455304e6a6b784f54566c4f5445755a47396a65413d3d&fich=e5de13d1-10e2-4b5f-9a85-2e5469195e91.docx&Inline=true|2023-01-06|2023-01-06|39-40/141/II-A/XV/1|ANDRÉ VENTURA, BRUNO NUNES, DIOGO PACHECO DE AMORIM, FILIPE MELO, GABRIEL MITHÁ RIBEIRO, JORGE GALVEIAS, PEDRO DOS SANTOS FRAZÃO, PEDRO PESSANHA, PEDRO PINTO, RITA MATIAS, RUI AFONSO, RUI PAULO SOUSA|12
477/J/XV/1|BE|Congela as comissões bancárias em 2023|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338774d5751785a47566c595330334e6d55794c54526c4e3249744f546b314e5331694f5751775a5455324f4463775a574d755a47396a&fich=01d1deea-76e2-4e7b-9955-b9d0e56870ec.doc&Inline=true|2023-01-06|2023-01-06|37-39/141/II-A/XV/1|MARIANA MORTÁGUA, PEDRO FILIPE SOARES, CATARINA MARTINS, JOANA MORTÁGUA, JOSÉ MOURA SOEIRO|5
476/J/XV/1|BE|Consolida e alarga a proibição de comissões, despesas ou encargos de outra natureza cobradas pelas instituições de crédito (alteração à Lei n.º 66/2015, de 6 de julho)|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533830596d5269597a51775953316c4e544d784c5451324e3245744f475534597930304f4759304d325a6c596a633159544d755a47396a&fich=4bdbc40a-e531-467a-8e8c-48f43feb75a3.doc&Inline=true|2023-01-06|2023-01-06|35-37/141/II-A/XV/1|MARIANA MORTÁGUA, PEDRO FILIPE SOARES, CATARINA MARTINS, JOANA MORTÁGUA, JOSÉ MOURA SOEIRO|5
475/J/XV/1|BE|Estende a todos os contratos de crédito a proibição de cobrança de comissões previstas na Lei n.º 57/2020, de 23 junho (1ª alteração à Lei n.º 57/2020, de 23 de junho)|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533878597a5579596d46695953316d59575a694c5451784d3251744f4455354d5331694e7a4a6c596a5a6a597a566b4d4751755a47396a&fich=1c52baba-fafb-413d-8591-b72eb6cc5d0d.doc&Inline=true|2023-01-06|2023-01-06|33-35/141/II-A/XV/1|MARIANA MORTÁGUA, PEDRO FILIPE SOARES, CATARINA MARTINS, JOANA MORTÁGUA, JOSÉ MOURA SOEIRO|5
474/J/XV/1|PAN|Altera a Lei de Bases da Habitação, com vista à criação de gabinetes municipais de apoio à habitação|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396d597a677a5a5467784e53316c597a59784c54517a4d7a67744f57526a596930794d6a526c4d44646d4d545a694f544d755a47396a65413d3d&fich=fc83e815-ec61-4338-9dcb-224e07f16b93.docx&Inline=true|2023-01-06|2023-01-06|31-33/141/II-A/XV/1|INÊS DE SOUSA REAL|1
473/J/XV/1|L|Aumenta o período de subvenção mensal e o período máximo de apoio do programa Porta 65 - Arrendamento por Jovens|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314d4745344e325a6d4e533077595749334c54526d5a4455744f47517a4e533169595749784e444e6c4d5467794d5749755a47396a65413d3d&fich=50a87ff5-0ab7-4fd5-8d35-bab143e1821b.docx&Inline=true|2023-01-06|2023-01-06|29-31/141/II-A/XV/1|RUI TAVARES|1
472/J/XV/1|L|Cria o Programa Ajuda de Casa, de apoio à compra da primeira habitação|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533968596d49774e54553159693078596a686c4c5451354f474574596a46695969316d4d4441334d57497a4e7a4d354d5463755a47396a65413d3d&fich=abb0555b-1b8e-498a-b1bb-f0071b373917.docx&Inline=true|2023-01-06|2023-01-06|27-29/141/II-A/XV/1|RUI TAVARES|1
471/J/XV/1|L|Cria o Programa de Apoio às Cooperativas de Habitação|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396c596d517a4d574930596930314d474e684c5451354d4445744f5451335a693033596a426a4d7a49314e446869595463755a47396a65413d3d&fich=ebd31b4b-50ca-4901-947f-7b0c32548ba7.docx&Inline=true|2023-01-06|2023-01-06|24-27/141/II-A/XV/1|RUI TAVARES|1
470/J/XV/1|CH|Cria um programa de apoio aos jovens para compra de habitação própria e permanente|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396c4d4449325a6a646c4e693078596d4a6b4c5451355a5459744f544530597930324e474a694d6a51304d6d5178595455755a47396a65413d3d&fich=e026f7e6-1bbd-49e6-914c-64bb2442d1a5.docx&Inline=true|2023-01-06|2023-01-06 2023-01-17|21-24/141/II-A/XV/1 7-11/148/II-A/XV/1|ANDRÉ VENTURA, BRUNO NUNES, DIOGO PACHECO DE AMORIM, FILIPE MELO, GABRIEL MITHÁ RIBEIRO, JORGE GALVEIAS, PEDRO DOS SANTOS FRAZÃO, PEDRO PESSANHA, PEDRO PINTO, RITA MATIAS, RUI AFONSO, RUI PAULO SOUSA|12
